stable_nodes_name;occurence
IL34_M2_macrophage__extracellular_space;1
IL4;1
IL4_IL4Ra_complex;1
IL4_rna;1
IL4R;1
IL6_Fibroblast___Extracellular_Space;1
IL6_Fibroblast___secreted_components;1
IL6_IL6R_complex;1
IL6_IL6R_IL6ST_complex;1
IL6_IL6ST_complex;1
IL6_M1_macrophage___Extracellular_Space;1
IL6_M1_macrophage___Secreted_components;1
IL7_Fibroblast___secreted_components;1
IL7_IL7R_IL2RG_complex;1
IL7_TH1___extracellular_space;1
IL7R_IL2RG_complex;1
IL8_M1_macrophage___Extracellular_Space;1
IL8_M1_macrophage___Secreted_components;1
IL8_M2_macrophage__extracellular_space;1
IL8_M2_macrophage__secreted_components;1
IL9R_IL2RG_IL9_complex;1
immune_complex_CD16a_complex;1
immune_complex_CD32a_complex;1
immune_complex_CD32B_complex;1
immune_complex_CD64_complex;1
immune_complex_complex;1
inflammation_signal_phenotype;1
INHBA;1
INHBB_Fibroblast___secreted_components;1
INHBB_M1_macrophage___Extracellular_Space;1
INPP5A;1
IP3_simple_molecule;1
IRAK1_Fibroblast___Cytoplasm;1
IRAK1_Fibroblast___Cytoplasm_active;1
IRAK1_IRAK4_complex;1
IRAK1_IRAK4_complex_M1_macrophage___Cytoplasm;1
IRAK1_IRAK4_complex_TH1___cytoplasm;1
IRAK1_M1_macrophage___Cytoplasm;1
IRAK3;1
IRAK4_Fibroblast___Cytoplasm;1
IRAK4_Fibroblast___Cytoplasm_active;1
IRAK4_phosphorylated;1
IRF1_Fibroblast___Cytoplasm;1
IRF1_Fibroblast___nucleus;1
IRF3_phosphorylated_Fibroblast___nucleus;1
IRF3_phosphorylated_M1_macrophage___nucleus;1
IRF5_Fibroblast___Cytoplasm;1
IRF5_Fibroblast___nucleus;1
IRF5_ubiquitinated;1
IRF7_M1_macrophage___nucleus;1
IRF7_M2_macrophage_nucleus;1
IRF7_TH1___cytoplasm;1
IRF7_TH1___cytoplasm_active;1
IRF9_Fibroblast___Cytoplasm;1
IRF9_M1_macrophage___Cytoplasm;1
ISGF3_complex;1
ITGA4_ITGB1_col4a3_complex;1
ITGA4_ITGB1_complex;1
ITGA4_ITGB1_sema7a_complex;1
ITGA4_ITGB7_complex;1
ITGA5_ITGB1_col4a5_complex;1
ITGA5_ITGB1_complex;1
ITGAL_ITGB2_complex;1
ITGAM_ITGB2_complex;1
ITGB1_ITGA1_col4a_complex_M1_macrophage__Cytoplasmic_membrane_up;1
ITGB1_ITGA1_col4a_complex_M2_macrophage__cytoplasmic_membrane_up;1
ITGB1_ITGA1_complex_M1_macrophage__Cytoplasmic_membrane_up;1
ITGB1_ITGA1_complex_M2_macrophage__cytoplasmic_membrane_up;1
jag1;1
