Barcodes	Graph-based clusters	Total count	Total expressed feature	Cluster	Sample ID	Cell type	Diagnosis	Plate	Sample pathology	BioTuring - Anatomy	BioTuring - Cell type	Graph-based clusters (Fibroblast)	Cell class	Graph-based clusters (Monocyte)	Graph-based clusters (T cell)	Graph-based clusters (B cell)
S006_L1Q2_G02	Cluster 2	21150.6542	2771	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 4	Unassigned	Unassigned
S006_L1Q2_G06	Cluster 2	32217.5473	4747	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 4	Unassigned	Unassigned
S006_L1Q2_G08	Cluster 2	38003.9993	5878	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 4	Unassigned	Unassigned
S006_L1Q2_G10	Cluster 2	19273.092	2495	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 4	Unassigned	Unassigned
S006_L1Q2_G14	Cluster 2	20029.5929	2535	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 3	Unassigned	Unassigned
S006_L1Q2_G18	Cluster 2	24396.5544	3326	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 4	Unassigned	Unassigned
S006_L1Q2_G20	Cluster 2	34568.7201	5314	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 4	Unassigned	Unassigned
S006_L1Q2_I12	Cluster 2	9670.5946	1092	SC-M1	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	IL1B+ pro-inflammatory monocyte	Cluster 1	Unassigned	Unassigned
S006_L1Q2_I14	Cluster 2	30071.469	4369	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 4	Unassigned	Unassigned
S006_L1Q2_I24	Cluster 2	12944.4853	1475	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 1	Unassigned	Unassigned
S006_L1Q2_K02	Cluster 2	21662.1999	2869	SC-M1	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	IL1B+ pro-inflammatory monocyte	Cluster 4	Unassigned	Unassigned
S006_L1Q2_K04	Cluster 2	19900.495	2555	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 4	Unassigned	Unassigned
S006_L1Q2_K06	Cluster 2	23014.819	3028	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 3	Unassigned	Unassigned
S006_L1Q2_K10	Cluster 2	29339.4108	4095	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 4	Unassigned	Unassigned
S006_L1Q2_K22	Cluster 2	27274.0859	3794	SC-M1	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	IL1B+ pro-inflammatory monocyte	Cluster 2	Unassigned	Unassigned
S006_L1Q2_K24	Cluster 2	24776.1662	3334	SC-M1	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	IL1B+ pro-inflammatory monocyte	Cluster 2	Unassigned	Unassigned
S006_L1Q2_M02	Cluster 8	31228.5391	4506	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q2_M04	Cluster 4	29912.4275	4393	SC-F2	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 11	HLA-DRAhi sublining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q2_M06	Cluster 8	37776.9129	5846	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q2_M08	Cluster 4	34566.7127	5182	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q2_M10	Cluster 8	35015.2649	5334	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q2_M12	Cluster 8	35564.9748	5357	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q2_M14	Cluster 8	39886.4509	6326	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 14	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q2_M16	Cluster 4	26931.064	3796	SC-F2	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	HLA-DRAhi sublining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q2_M18	Cluster 8	40546.1229	6373	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q2_M20	Cluster 6	24371.8356	3318	SC-F2	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 9	HLA-DRAhi sublining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q2_M22	Cluster 8	40025.4874	6380	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 14	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q2_M24	Cluster 7	24488.1405	3407	SC-F1	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 1	CD34+ sublining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q2_O02	Cluster 8	32495.9401	4857	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 14	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q2_O04	Cluster 7	29098.5615	4114	SC-F2	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 3	HLA-DRAhi sublining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q2_O06	Cluster 4	36554.865	5722	SC-F2	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 11	HLA-DRAhi sublining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q2_O12	Cluster 8	37556.2027	5751	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q2_O14	Cluster 8	28005.6691	3883	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q2_O16	Cluster 8	37819.8488	6011	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q2_O18	Cluster 8	41947.0791	6817	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q2_O22	Cluster 8	35050.6047	5357	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q2_O24	Cluster 8	37611.8625	5892	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 14	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L2Q3_B01	Cluster 3	13591.5069	1528	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L2Q3_B03	Cluster 3	15998.917	1862	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 3	Unassigned
S006_L2Q3_B05	Cluster 5	11724.0959	1283	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 1	Unassigned
S006_L2Q3_B07	Cluster 3	17350.0161	2126	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 3	Unassigned
S006_L2Q3_B09	Cluster 3	15513.1666	1834	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L2Q3_B11	Cluster 3	12761.0873	1427	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 3	Unassigned
S006_L2Q3_B13	Cluster 3	13276.4752	1511	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L2Q3_B15	Cluster 3	13900.8427	1608	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L2Q3_B17	Cluster 3	13125.9883	1487	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 2	Unassigned
S006_L2Q3_B19	Cluster 3	13669.1743	1556	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L2Q3_B23	Cluster 3	12961.0101	1439	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 2	Unassigned
S006_L2Q3_D01	Cluster 3	12551.578	1415	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L2Q3_D03	Cluster 3	18314.4502	2230	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L2Q3_D05	Cluster 3	13002.5473	1467	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L2Q3_D07	Cluster 3	14507.7562	1666	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 3	Unassigned
S006_L2Q3_D09	Cluster 3	15346.2328	1809	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L2Q3_D11	Cluster 3	17818.8491	2145	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L2Q3_D13	Cluster 3	14263.0507	1632	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 3	Unassigned
S006_L2Q3_D15	Cluster 10	12587.7845	1421	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 4	Unassigned
S006_L2Q3_D17	Cluster 3	12337.4104	1398	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 2	Unassigned
S006_L2Q3_D19	Cluster 3	13783.4379	1558	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L2Q3_F01	Cluster 3	13337.3866	1509	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 3	Unassigned
S006_L2Q3_F03	Cluster 10	11555.0362	1264	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 4	Unassigned
S006_L2Q3_F05	Cluster 3	16973.6747	2021	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 3	Unassigned
S006_L2Q3_F07	Cluster 3	18818.6355	2309	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L2Q3_F09	Cluster 3	10505.81	1147	SC-T6	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+GZMB+ T  cell	Unassigned	Cluster 2	Unassigned
S006_L2Q3_F11	Cluster 3	16271.1771	1938	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L2Q3_F13	Cluster 3	13954.0257	1609	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L2Q3_F15	Cluster 5	14109.0907	1594	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 1	Unassigned
S006_L2Q3_F17	Cluster 5	16976.546	2002	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 1	Unassigned
S006_L2Q3_F19	Cluster 3	17627.0814	2140	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L2Q3_F21	Cluster 5	14045.8161	1600	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 1	Unassigned
S006_L2Q3_F23	Cluster 3	13980.6721	1587	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L2Q3_H01	Cluster 2	23419.5028	3086	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 4	Unassigned	Unassigned
S006_L2Q3_H03	Cluster 2	21696.645	2820	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 4	Unassigned	Unassigned
S006_L2Q3_H07	Cluster 2	13539.588	1573	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 4	Unassigned	Unassigned
S006_L2Q3_H09	Cluster 2	20090.9311	2621	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 4	Unassigned	Unassigned
S006_L2Q3_H11	Cluster 2	26864.341	3688	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 4	Unassigned	Unassigned
S006_L2Q3_H13	Cluster 2	26231.8455	3644	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 4	Unassigned	Unassigned
S006_L2Q3_H15	Cluster 2	16979.6301	2117	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 4	Unassigned	Unassigned
S006_L2Q3_H17	Cluster 2	11054.2241	1264	SC-M1	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	IL1B+ pro-inflammatory monocyte	Cluster 1	Unassigned	Unassigned
S006_L2Q3_H19	Cluster 2	24938.6739	3318	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 4	Unassigned	Unassigned
S006_L2Q3_H23	Cluster 2	22268.3031	2889	SC-M1	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	IL1B+ pro-inflammatory monocyte	Cluster 2	Unassigned	Unassigned
S006_L2Q3_J01	Cluster 2	24824.5853	3298	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 4	Unassigned	Unassigned
S006_L2Q3_J03	Cluster 2	23004.3162	2984	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 4	Unassigned	Unassigned
S006_L2Q3_J11	Cluster 2	20511.5998	2652	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 4	Unassigned	Unassigned
S006_L2Q3_J19	Cluster 2	30488.6721	4362	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 4	Unassigned	Unassigned
S006_L2Q3_L07	Cluster 2	27027.179	3785	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 4	Unassigned	Unassigned
S006_L2Q3_L09	Cluster 2	27362.0807	3834	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 4	Unassigned	Unassigned
S006_L2Q3_L11	Cluster 2	17207.7582	2110	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 3	Unassigned	Unassigned
S006_L2Q3_L17	Cluster 2	28717.5244	4040	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 4	Unassigned	Unassigned
S006_L2Q3_L19	Cluster 2	20750.2859	2697	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 4	Unassigned	Unassigned
S006_L2Q3_L21	Cluster 2	29265.5222	4137	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 3	Unassigned	Unassigned
S006_L2Q3_N01	Cluster 8	36995.1091	5684	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L2Q3_N03	Cluster 6	21657.0466	2795	SC-F1	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 3	CD34+ sublining fibroblast	Unassigned	Unassigned	Unassigned
S006_L2Q3_N05	Cluster 8	34597.3609	5234	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L2Q3_N07	Cluster 8	32332.0737	4720	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L2Q3_N09	Cluster 7	26584.8269	3684	SC-F1	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 1	CD34+ sublining fibroblast	Unassigned	Unassigned	Unassigned
S006_L2Q3_N11	Cluster 6	23196.0619	3094	SC-F2	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 3	HLA-DRAhi sublining fibroblast	Unassigned	Unassigned	Unassigned
S006_L2Q3_N13	Cluster 8	24250.5152	3280	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L2Q3_N15	Cluster 4	23252.6091	3124	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L2Q3_N17	Cluster 8	31179.03	4496	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L2Q3_N19	Cluster 8	31846.7406	4619	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L2Q3_N21	Cluster 8	33735.1555	5020	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L2Q3_N23	Cluster 8	27645.2134	3850	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L2Q3_P01	Cluster 7	26977.7097	3733	SC-F1	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 3	CD34+ sublining fibroblast	Unassigned	Unassigned	Unassigned
S006_L2Q3_P03	Cluster 8	34275.4301	5113	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L2Q3_P05	Cluster 8	33444.6442	4984	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L2Q3_P07	Cluster 8	30120.112	4295	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
